1	HACETTEPE ÜNİVERSİTESİ	173.23	183.73	195.10	182.66	73.87	808.59
2	ORTA DOĞU TEKNİK ÜNİVERSİTESİ	183.44	195.95	181.39	185.98	52.35	799.11
3	İSTANBUL ÜNİVERSİTESİ	154.54	160.60	163.77	199.00	62.75	740.66
4	İSTANBUL TEKNİK ÜNİVERSİTESİ	155.69	180.08	157.31	179.44	62.43	734.94
5	EGE ÜNİVERSİTESİ	160.41	173.57	162.69	164.04	71.80	732.50
6	ANKARA ÜNİVERSİTESİ	147.59	156.97	162.75	194.03	65.02	726.37
7	BOĞAZİÇİ ÜNİVERSİTESİ	163.20	171.79	159.33	160.79	66.40	721.51
8	GAZİ ÜNİVERSİTESİ	147.48	155.78	154.59	184.57	57.54	699.97
9	GEBZE YÜKSEK TEKNOLOJİ ENSTİTÜSÜ	149.58	154.45	153.05	153.90	75.16	686.14
10	SABANCI ÜNİVERSİTESİ	151.17	157.35	153.80	140.06	73.72	676.10
11	İ.D. BİLKENT ÜNİVERSİTESİ	159.01	169.46	161.27	133.72	48.33	671.79
12	İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ	139.60	158.65	150.96	140.98	80.65	670.84
13	KOÇ ÜNİVERSİTESİ	153.23	155.11	154.39	116.82	64.60	644.15
14	SELÇUK ÜNİVERSİTESİ	146.31	139.56	148.44	142.42	43.57	620.30
15	ATATÜRK ÜNİVERSİTESİ	130.64	125.09	135.73	176.27	49.97	617.71
16	ÇUKUROVA ÜNİVERSİTESİ	133.22	155.97	139.46	143.62	44.91	617.18
17	GAZİANTEP ÜNİVERSİTESİ	159.56	164.39	150.50	100.18	40.33	614.97
18	ERCİYES ÜNİVERSİTESİ	138.00	142.21	142.68	123.01	49.10	595.00
19	TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ	152.16	158.74	147.98	61.75	69.31	589.94
20	FATİH ÜNİVERSİTESİ	149.41	137.22	148.29	103.80	41.79	580.51
