1	ORTA DOĞU TEKNİK ÜNİVERSİTESİ	167.35	188.66	171.91	183.61	55.83	767.35
2	HACETTEPE ÜNİVERSİTESİ	155.16	159.88	165.24	155.13	69.88	705.30
3	İSTANBUL ÜNİVERSİTESİ	153.51	154.97	157.59	175.13	56.75	697.95
4	İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ	169.62	187.63	156.00	114.17	50.27	677.69
5	ANKARA ÜNİVERSİTESİ	146.15	141.29	147.72	184.99	57.17	677.32
6	İSTANBUL TEKNİK ÜNİVERSİTESİ	150.92	149.33	151.09	168.19	55.33	674.88
7	GEBZE TEKNİK ÜNİVERSİTESİ	139.72	164.13	136.73	154.80	62.56	657.94
8	EGE ÜNİVERSİTESİ	147.15	145.92	151.92	144.86	66.44	656.29
9	GAZİ ÜNİVERSİTESİ	148.95	136.87	148.14	164.30	53.61	651.87
10	SABANCI ÜNİVERSİTESİ	152.49	166.62	157.65	107.95	63.57	648.29
11	KOÇ ÜNİVERSİTESİ	138.53	170.23	135.16	118.08	77.82	639.82
12	BOĞAZİÇİ ÜNİVERSİTESİ	143.74	129.92	149.51	144.89	57.11	625.17
13	ATATÜRK ÜNİVERSİTESİ	130.41	131.28	130.65	158.26	47.36	597.95
14	YILDIZ TEKNİK ÜNİVERSİTESİ	136.74	126.29	132.46	141.95	49.65	587.09
15	ERCİYES ÜNİVERSİTESİ	136.77	142.78	139.16	121.17	46.76	586.64
16	İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ	135.58	110.16	128.27	130.51	71.19	575.71
17	MARMARA ÜNİVERSİTESİ	115.27	131.15	128.58	154.02	46.16	575.18
18	SELÇUK ÜNİVERSİTESİ	126.40	131.24	135.25	133.32	40.87	567.08
19	DOKUZ EYLÜL ÜNİVERSİTESİ	124.27	128.46	129.53	129.59	53.31	565.17
20	KARADENİZ TEKNİK ÜNİVERSİTESİ	129.99	129.02	127.93	122.21	44.25	553.40
